log_servicetype,pv
/ws/transfer/aps/locate/,324242
/ws/mapapi/geo/reversecode/,283110
/ws/transfer/traffic/radar/,12439
/ws/transfer/auth/clusterservice/messagehandle/,4710
/ws/mapapi/realtimebus/linestation/,4406
/ws/nearby_v3/nearby_category/,3496
/ws/transfer/navigation/auto/,1392
/ws/mapapi/poi/infolite/,899
/ws/mapapi/poi/tips/,812
/ws/mapapi/poi/bus/,733
/ws/mapapi/poi/recommend/,682
/ws/mapapi/navigation/auto/,653
/ws/mapapi/poi/info/,335
/ws/mapapi/poidetail/mps/,168
/ws/valueadded/deepinfo/search/,122
/ass?t=aps/,82
/ass?t=search/,32